Age,Height,Weight,Sex,Year,Season,City,Sport,Medal,AOS,AOE
22,176,70,M,1936,Summer,Berlin,Cycling,Thanks,1,2
34,192,83,M,1972,Summer,Munich,Handball,Thanks,1,1
21,187,77,M,1972,Summer,Munich,Basketball,Thanks,1,1
23,180,64,M,1984,Summer,Los Angeles,Swimming,Thanks,1,1
23,160,51,M,1996,Summer,Atlanta,Boxing,Thanks,1,1
23,190,91,M,1964,Summer,Tokyo,Basketball,Thanks,1,1
27,190,91,M,1968,Summer,Mexico City,Basketball,Thanks,1,1
22,160,55,M,1980,Summer,Moskva,Boxing,Thanks,1,1
28,167,68,M,1972,Summer,Munich,Athletics,Thanks,1,1
49,174,74,M,1920,Summer,Antwerpen,Shooting,Thanks,1,9
53,174,74,M,1924,Summer,Paris,Shooting,Thanks,1,9
25,168,75,M,1928,Summer,Amsterdam,Weightlifting,Thanks,1,1
19,198,100,M,2008,Summer,Beijing,Swimming,Gold,1,4
23,198,100,M,2012,Summer,London,Swimming,Gold,1,4
27,198,100,M,2016,Summer,Rio de Janeiro,Swimming,Bronze,1,4
22,168,57,F,2016,Summer,Rio de Janeiro,Cycling,Thanks,1,1
33,151,52,F,1984,Summer,Los Angeles,Shooting,Thanks,1,2
37,151,52,F,1988,Summer,Seoul,Shooting,Thanks,1,2
21,180,61,F,1992,Summer,Barcelona,Basketball,Thanks,1,1
25,180,61,F,1996,Summer,Atlanta,Basketball,Silver,1,1
29,180,61,F,2000,Summer,Sydney,Basketball,Bronze,1,1
35,176,120,M,1960,Summer,Roma,Weightlifting,Thanks,2,2
47,176,120,M,1972,Summer,Munich,Shooting,Thanks,2,2
29,185,95,M,2000,Summer,Sydney,Baseball,Thanks,1,1
33,185,95,M,2004,Summer,Athina,Baseball,Thanks,1,1
37,185,95,M,2008,Summer,Beijing,Baseball,Thanks,1,1
21,170,65,F,2000,Summer,Sydney,Basketball,Bronze,1,1
25,170,65,F,2004,Summer,Athina,Basketball,Thanks,1,1
29,170,65,F,2008,Summer,Beijing,Basketball,Thanks,1,1
33,170,65,F,2012,Summer,London,Basketball,Thanks,1,1
37,170,65,F,2016,Summer,Rio de Janeiro,Basketball,Thanks,1,1
23,180,96,F,1996,Summer,Atlanta,Athletics,Thanks,1,2
32,180,96,F,2004,Summer,Athina,Athletics,Thanks,1,2
36,180,96,F,2008,Summer,Beijing,Athletics,Thanks,1,2
30,189,87,M,1996,Summer,Atlanta,Canoeing,Silver,1,1
21,173,72,M,1968,Winter,Grenoble,Alpine Skiing,Thanks,1,1
25,173,65,M,1988,Summer,Seoul,Judo,Thanks,1,1
19,170,66,M,2008,Summer,Beijing,Football,Thanks,1,1
20,185,82,M,1952,Summer,Helsinki,Rowing,Thanks,1,1
24,165,64,F,2000,Summer,Sydney,Athletics,Thanks,1,2
24,185,82,M,1980,Summer,Moskva,Wrestling,Thanks,1,1
20,190,82,M,2004,Summer,Athina,Swimming,Thanks,1,3
24,190,82,M,2008,Summer,Beijing,Swimming,Thanks,1,3
27,154,52,M,1980,Summer,Moskva,Weightlifting,Thanks,1,1
20,160,55,F,2002,Winter,Salt Lake City,Ice Hockey,Thanks,1,1
25,190,80,M,2016,Summer,Rio de Janeiro,Boxing,Thanks,1,1
26,192,65,F,2008,Summer,Beijing,Handball,Thanks,1,1
23,175,69,M,1996,Summer,Atlanta,Wrestling,Thanks,1,2
27,175,69,M,2000,Summer,Sydney,Wrestling,Thanks,1,2
28,190,90,M,1984,Summer,Los Angeles,Handball,Thanks,1,1
24,170,59,F,2008,Summer,Beijing,Judo,Thanks,1,1
30,180,98,M,2002,Winter,Salt Lake City,Bobsleigh,Thanks,1,1
24,176,70,M,1948,Summer,London,Cycling,Thanks,1,1
27,176,67,M,1936,Summer,Berlin,Athletics,Thanks,1,1
22,170,58,F,1988,Summer,Seoul,Athletics,Thanks,1,1
24,186,85,M,2002,Winter,Salt Lake City,Ice Hockey,Thanks,1,1
28,186,85,M,2006,Winter,Torino,Ice Hockey,Thanks,1,1
27,180,95,M,2006,Winter,Torino,Bobsleigh,Thanks,1,1
24,189,82,M,1964,Summer,Tokyo,Rowing,Silver,1,1
29,169,71,M,1912,Summer,Stockholm,Modern Pentathlon,Thanks,1,1
24,181,93,M,1972,Summer,Munich,Judo,Thanks,1,1
22,176,67,M,1912,Summer,Stockholm,Athletics,Thanks,1,2
24,175,75,M,1976,Summer,Montreal,Cycling,Thanks,1,1
20,176,67,F,1928,Summer,Amsterdam,Athletics,Thanks,1,2
19,191,86,M,2012,Summer,London,Swimming,Thanks,1,2
23,191,86,M,2016,Summer,Rio de Janeiro,Swimming,Thanks,1,2
20,177,80,M,2014,Winter,Sochi,Alpine Skiing,Thanks,1,1
20,176,70,M,1928,Summer,Amsterdam,Cycling,Thanks,1,3
37,162,51,F,2014,Winter,Sochi,Freestyle Skiing,Thanks,1,1
33,182,68,M,2008,Summer,Beijing,Cycling,Thanks,1,1
28,182,64,F,2012,Summer,London,Athletics,Thanks,1,1
22,178,67,M,1992,Summer,Barcelona,Cycling,Thanks,1,1
21,166,50,F,1992,Summer,Barcelona,Synchronized Swimming,Thanks,1,3
25,166,50,F,1996,Summer,Atlanta,Synchronized Swimming,Thanks,1,3
31,173,64,F,1972,Summer,Munich,Equestrianism,Thanks,1,2
27,180,70,M,1924,Summer,Paris,Tennis,Thanks,1,2
34,186,86,M,2002,Winter,Salt Lake City,Ice Hockey,Thanks,1,1
25,186,86,M,1972,Winter,Sapporo,Ice Hockey,Thanks,1,1
23,168,74,M,1924,Summer,Paris,Weightlifting,Thanks,1,2
27,168,74,M,1928,Summer,Amsterdam,Weightlifting,Thanks,1,2
35,168,74,M,1936,Summer,Berlin,Weightlifting,Thanks,1,2
44,174,68,M,1912,Summer,Stockholm,Equestrianism,Thanks,1,1
20,176,67,M,1912,Summer,Stockholm,Athletics,Thanks,1,1
25,188,82,M,2008,Summer,Beijing,Basketball,Thanks,1,1
19,175,68,M,2016,Summer,Rio de Janeiro,Table Tennis,Thanks,1,1
30,187,80,M,1996,Summer,Atlanta,Athletics,Thanks,1,1
23,175,79,M,1968,Summer,Mexico City,Sailing,Thanks,1,1
16,158,48,F,2008,Summer,Beijing,Gymnastics,Thanks,1,5
20,158,48,F,2012,Summer,London,Gymnastics,Silver,1,5
30,164,56,F,1996,Summer,Atlanta,Athletics,Thanks,1,1
26,175,74,M,1984,Summer,Los Angeles,Cycling,Thanks,1,1
19,182,70,M,2012,Summer,London,Sailing,Thanks,1,1
23,182,70,M,2016,Summer,Rio de Janeiro,Sailing,Thanks,1,1
20,169,54,M,2004,Summer,Athina,Boxing,Thanks,1,1
28,173,69,M,1936,Summer,Berlin,Hockey,Thanks,1,1
26,177,65,M,1924,Winter,Chamonix,Ski Jumping,Thanks,3,3
26,173,66,M,1924,Winter,Chamonix,Cross Country Skiing,Thanks,3,3
26,177,67,M,1924,Winter,Chamonix,Nordic Combined,Thanks,3,3
21,186,74,M,2012,Summer,London,Football,Thanks,1,1
26,187,87,M,1980,Summer,Moskva,Handball,Thanks,1,1
18,180,82,M,1988,Summer,Seoul,Wrestling,Thanks,1,1
18,168,58,F,2014,Winter,Sochi,Alpine Skiing,Thanks,1,2
28,194,92,M,2016,Summer,Rio de Janeiro,Volleyball,Thanks,1,1
23,172,63,M,1948,Summer,London,Boxing,Thanks,1,1
19,163,54,F,2000,Summer,Sydney,Taekwondo,Thanks,1,1
22,183,88,M,2002,Winter,Salt Lake City,Ice Hockey,Bronze,1,1
26,183,88,M,2006,Winter,Torino,Ice Hockey,Thanks,1,1
30,183,88,M,2010,Winter,Vancouver,Ice Hockey,Thanks,1,1
27,184,77,M,2000,Summer,Sydney,Taekwondo,Thanks,1,1
17,162,60,F,2016,Summer,Rio de Janeiro,Swimming,Thanks,1,1
20,180,62,F,1996,Summer,Atlanta,Athletics,Thanks,1,2
24,180,62,F,2000,Summer,Sydney,Athletics,Thanks,1,2
24,189,67,M,1972,Summer,Munich,Athletics,Thanks,1,1
22,167,60,F,1992,Summer,Barcelona,Diving,Thanks,1,1
21,190,85,M,1996,Summer,Atlanta,Football,Thanks,1,1
25,176,80,M,2016,Summer,Rio de Janeiro,Sailing,Thanks,1,1
25,171,62,F,2016,Summer,Rio de Janeiro,Equestrianism,Thanks,1,1
22,178,70,F,1976,Summer,Montreal,Rowing,Bronze,1,1
28,175,75,M,2016,Summer,Rio de Janeiro,Rugby Sevens,Bronze,1,1
20,165,52,F,1972,Summer,Munich,Athletics,Thanks,1,2
19,194,103,M,1996,Summer,Atlanta,Water Polo,Thanks,1,1
23,194,103,M,2000,Summer,Sydney,Water Polo,Thanks,1,1
27,194,103,M,2004,Summer,Athina,Water Polo,Thanks,1,1
31,194,103,M,2008,Summer,Beijing,Water Polo,Thanks,1,1
35,194,103,M,2012,Summer,London,Water Polo,Thanks,1,1
20,188,88,M,2004,Summer,Athina,Water Polo,Thanks,1,1
24,188,88,M,2008,Summer,Beijing,Water Polo,Thanks,1,1
28,188,88,M,2012,Summer,London,Water Polo,Thanks,1,1
32,188,88,M,2016,Summer,Rio de Janeiro,Water Polo,Thanks,1,1
37,172,69,M,1992,Summer,Barcelona,Cycling,Thanks,1,2
21,172,63,M,1952,Summer,Helsinki,Boxing,Thanks,1,1
23,175,71,M,1948,Summer,London,Football,Thanks,1,1
25,169,78,M,1964,Summer,Tokyo,Wrestling,Thanks,1,1
21,184,69,M,1988,Summer,Seoul,Athletics,Thanks,1,3
25,173,76,M,1964,Summer,Tokyo,Hockey,Silver,1,1
19,174,73,M,1996,Summer,Atlanta,Judo,Thanks,1,1
27,173,71,M,1964,Winter,Innsbruck,Alpine Skiing,Thanks,1,3
27,193,104,M,2016,Summer,Rio de Janeiro,Rugby Sevens,Bronze,1,1
28,175,75,M,2012,Summer,London,Swimming,Thanks,1,1
16,148,40,F,1984,Summer,Los Angeles,Gymnastics,Thanks,1,6
21,190,86,M,1996,Summer,Atlanta,Swimming,Thanks,1,2
25,190,86,M,2000,Summer,Sydney,Swimming,Thanks,1,2
29,190,86,M,2004,Summer,Athina,Swimming,Thanks,1,2
23,171,57,F,2014,Winter,Sochi,Figure Skating,Thanks,1,1
16,160,50,F,2012,Summer,London,Swimming,Thanks,1,1
21,193,82,M,2000,Summer,Sydney,Football,Thanks,1,1
24,187,93,M,2004,Summer,Athina,Rowing,Bronze,1,3
27,187,93,M,2008,Summer,Beijing,Rowing,Silver,1,3
31,187,93,M,2012,Summer,London,Rowing,Thanks,1,3
35,187,93,M,2016,Summer,Rio de Janeiro,Rowing,Thanks,1,3
20,158,51,F,2006,Winter,Torino,Figure Skating,Thanks,1,1
24,173,59,F,1996,Summer,Atlanta,Table Tennis,Thanks,1,2
28,173,59,F,2000,Summer,Sydney,Table Tennis,Thanks,1,2
30,181,76,M,1964,Summer,Tokyo,Athletics,Thanks,1,1
34,181,76,M,1968,Summer,Mexico City,Athletics,Thanks,1,1
25,170,55,F,2000,Summer,Sydney,Swimming,Thanks,1,1
27,182,90,M,1976,Winter,Innsbruck,Bobsleigh,Thanks,1,2
28,182,72,M,1996,Summer,Atlanta,Athletics,Thanks,1,1
31,195,96,M,1968,Summer,Mexico City,Basketball,Thanks,1,1
26,180,80,M,1996,Summer,Atlanta,Tennis,Gold,1,2
19,180,72,M,1980,Summer,Moskva,Athletics,Thanks,1,1
23,174,74,M,1924,Summer,Paris,Shooting,Thanks,2,2
23,178,72,M,1924,Summer,Paris,Fencing,Thanks,2,2
35,174,74,M,1936,Summer,Berlin,Shooting,Thanks,2,2
22,186,96,M,2004,Summer,Athina,Wrestling,Thanks,1,1
24,168,62,M,1996,Summer,Atlanta,Wrestling,Thanks,1,1
23,178,73,M,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Thanks,1,1
31,178,73,M,1964,Winter,Innsbruck,Ice Hockey,Thanks,1,1
27,179,74,M,1972,Summer,Munich,Athletics,Thanks,1,1
27,159,54,M,1972,Summer,Munich,Boxing,Thanks,1,1
29,185,80,M,1984,Summer,Los Angeles,Athletics,Thanks,1,1
23,164,66,F,2016,Summer,Rio de Janeiro,Judo,Silver,1,1
24,193,97,M,1996,Summer,Atlanta,Handball,Thanks,1,1
32,193,97,M,2004,Summer,Athina,Handball,Thanks,1,1
19,167,66,F,1992,Summer,Barcelona,Athletics,Thanks,1,1
18,170,64,M,2012,Summer,London,Table Tennis,Thanks,1,1
22,184,66,M,1980,Summer,Moskva,Athletics,Thanks,1,1
39,163,61,M,1960,Summer,Roma,Shooting,Thanks,1,2
47,163,61,M,1968,Summer,Mexico City,Shooting,Thanks,1,2
22,176,67,M,1928,Summer,Amsterdam,Athletics,Thanks,1,1
24,166,72,M,1932,Winter,Lake Placid,Cross Country Skiing,Thanks,1,1
23,170,66,M,1984,Summer,Los Angeles,Judo,Thanks,1,1
23,180,79,M,1988,Summer,Seoul,Tennis,Thanks,1,1
31,180,79,M,1996,Summer,Atlanta,Tennis,Thanks,1,1
22,172,60,M,1996,Summer,Atlanta,Boxing,Thanks,1,1
23,163,55,F,1976,Summer,Montreal,Fencing,Thanks,1,2
27,163,55,F,1980,Summer,Moskva,Fencing,Thanks,1,2
25,180,69,M,2000,Summer,Sydney,Cycling,Thanks,1,1
47,179,74,M,1920,Summer,Antwerpen,Sailing,Bronze,1,1
21,172,74,F,2016,Summer,Rio de Janeiro,Sailing,Thanks,1,1
21,168,74,F,2016,Summer,Rio de Janeiro,Sailing,Thanks,1,1
20,184,80,M,1956,Summer,Melbourne,Water Polo,Bronze,1,1
24,184,80,M,1960,Summer,Roma,Water Polo,Silver,1,1
28,184,80,M,1964,Summer,Tokyo,Water Polo,Bronze,1,1
21,167,55,M,1960,Summer,Roma,Hockey,Thanks,1,1
25,167,55,M,1964,Summer,Tokyo,Hockey,Thanks,1,1
18,170,67,F,2008,Summer,Beijing,Table Tennis,Thanks,1,1
34,174,67,M,1960,Winter,Squaw Valley,Biathlon,Thanks,1,1
19,176,67,M,1908,Summer,London,Athletics,Thanks,1,1
23,175,66,M,2004,Summer,Athina,Athletics,Thanks,1,1
29,180,74,M,1964,Summer,Tokyo,Football,Thanks,1,1
26,186,90,M,1972,Summer,Munich,Rowing,Thanks,1,1
22,176,82,M,1992,Summer,Barcelona,Shooting,Thanks,1,2
18,194,78,M,1988,Summer,Seoul,Swimming,Thanks,1,2
17,187,78,M,1992,Summer,Barcelona,Swimming,Thanks,1,2
21,187,78,M,1996,Summer,Atlanta,Swimming,Thanks,1,2
28,177,84,M,2004,Summer,Athina,Wrestling,Thanks,1,1
18,173,75,M,2000,Summer,Sydney,Football,Thanks,1,1
20,160,51,M,1964,Summer,Tokyo,Boxing,Thanks,1,1
17,172,63,M,1948,Summer,London,Boxing,Thanks,1,2
21,172,63,M,1952,Summer,Helsinki,Boxing,Thanks,1,2
21,193,75,M,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,1
27,190,83,M,1968,Summer,Mexico City,Football,Thanks,1,1
25,177,63,F,2004,Summer,Athina,Athletics,Thanks,1,1
29,177,63,F,2008,Summer,Beijing,Athletics,Thanks,1,1
27,171,70,M,1972,Summer,Munich,Shooting,Thanks,1,1
22,170,61,F,1980,Summer,Moskva,Archery,Thanks,1,1
26,170,61,F,1984,Summer,Los Angeles,Archery,Thanks,1,1
30,170,61,F,1988,Summer,Seoul,Archery,Thanks,1,1
18,168,65,M,2004,Summer,Athina,Swimming,Thanks,1,1
24,164,58,M,1908,Summer,London,Gymnastics,Thanks,1,1
21,172,58,F,2000,Summer,Sydney,Hockey,Thanks,1,1
29,172,58,F,2008,Summer,Beijing,Hockey,Gold,1,1
33,172,58,F,2012,Summer,London,Hockey,Gold,1,1
22,171,62,M,1980,Summer,Moskva,Boxing,Thanks,1,1
20,175,75,M,1994,Winter,Lillehammer,Ice Hockey,Thanks,1,1
25,173,71,F,1952,Winter,Oslo,Alpine Skiing,Thanks,1,3
29,173,71,F,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Thanks,1,3
20,202,90,M,2012,Summer,London,Swimming,Thanks,1,5
24,202,90,M,2016,Summer,Rio de Janeiro,Swimming,Thanks,1,5
17,178,70,M,1948,Summer,London,Swimming,Thanks,1,3
21,178,70,M,1952,Summer,Helsinki,Swimming,Thanks,1,3
20,165,64,M,1964,Summer,Tokyo,Canoeing,Thanks,1,1
20,164,58,M,1908,Summer,London,Gymnastics,Thanks,1,1
27,182,82,M,1984,Summer,Los Angeles,Wrestling,Thanks,1,1
32,175,79,M,2000,Summer,Sydney,Football,Thanks,1,1
23,190,85,M,1936,Summer,Berlin,Basketball,Thanks,1,1
36,173,60,M,1984,Summer,Los Angeles,Athletics,Thanks,1,1
18,168,67,F,2006,Winter,Torino,Ice Hockey,Gold,1,1
23,168,67,F,2010,Winter,Vancouver,Ice Hockey,Gold,1,1
26,168,67,F,2014,Winter,Sochi,Ice Hockey,Gold,1,1
23,174,64,M,1988,Summer,Seoul,Athletics,Thanks,1,2
27,174,64,M,1992,Summer,Barcelona,Athletics,Thanks,1,2
28,173,68,M,1952,Summer,Helsinki,Canoeing,Thanks,1,1
38,178,72,M,1948,Summer,London,Fencing,Thanks,1,1
21,171,66,M,1956,Summer,Melbourne,Athletics,Thanks,1,2
21,184,84,M,1996,Summer,Atlanta,Football,Thanks,1,1
18,172,51,M,1988,Summer,Seoul,Boxing,Thanks,1,1
24,178,75,M,2006,Winter,Torino,Figure Skating,Silver,1,1
28,178,75,M,2010,Winter,Vancouver,Figure Skating,Thanks,1,1
30,174,74,M,1952,Summer,Helsinki,Shooting,Thanks,1,2
31,179,64,M,2008,Summer,Beijing,Triathlon,Thanks,1,1
27,164,62,F,1964,Summer,Tokyo,Fencing,Gold,1,1
19,170,72,M,1928,Summer,Amsterdam,Fencing,Gold,1,2
23,170,72,M,1932,Summer,Los Angeles,Fencing,Bronze,1,2
39,170,72,M,1948,Summer,London,Fencing,Thanks,1,2
26,182,90,M,1964,Winter,Innsbruck,Bobsleigh,Thanks,1,2
26,194,78,M,1984,Summer,Los Angeles,Basketball,Thanks,1,1
24,168,70,M,2016,Summer,Rio de Janeiro,Football,Thanks,1,1
21,178,76,F,2012,Summer,London,Sailing,Thanks,1,1
25,168,70,M,1968,Summer,Mexico City,Wrestling,Thanks,1,1
21,191,80,M,1980,Summer,Moskva,Handball,Thanks,1,1
22,174,73,M,1996,Summer,Atlanta,Judo,Thanks,1,1
22,166,52,F,2014,Winter,Sochi,Cross Country Skiing,Thanks,1,2
20,172,63,M,1936,Summer,Berlin,Boxing,Bronze,1,1
25,176,74,F,2012,Summer,London,Handball,Thanks,1,1
19,181,76,M,2004,Summer,Athina,Fencing,Thanks,1,1
23,181,76,M,2008,Summer,Beijing,Fencing,Thanks,1,1
27,181,76,M,2012,Summer,London,Fencing,Thanks,1,1
31,181,76,M,2016,Summer,Rio de Janeiro,Fencing,Thanks,1,1
34,175,70,F,2008,Summer,Beijing,Athletics,Thanks,1,1
23,173,66,F,1976,Summer,Montreal,Rowing,Thanks,1,1
25,195,89,M,1984,Summer,Los Angeles,Rowing,Thanks,1,2
29,195,89,M,1988,Summer,Seoul,Rowing,Thanks,1,2
27,173,64,M,1976,Summer,Montreal,Boxing,Thanks,1,1
25,185,82,M,1906,Summer,Athina,Rowing,Gold,1,1
19,179,57,F,1984,Summer,Los Angeles,Athletics,Thanks,1,1
22,170,59,M,1984,Summer,Los Angeles,Cycling,Thanks,1,1
19,164,58,F,1928,Summer,Amsterdam,Gymnastics,Gold,1,1
27,189,82,M,2008,Summer,Beijing,Sailing,Thanks,1,1
24,163,55,F,2016,Summer,Rio de Janeiro,Beach Volleyball,Thanks,1,1
24,180,72,M,1996,Summer,Atlanta,Athletics,Thanks,1,2
22,168,163,M,1992,Summer,Barcelona,Weightlifting,Thanks,1,1
28,178,72,M,1948,Summer,London,Fencing,Thanks,1,1
24,190,85,M,1948,Summer,London,Basketball,Thanks,1,1
19,165,60,M,1968,Summer,Mexico City,Boxing,Thanks,1,1
28,191,78,M,1988,Summer,Seoul,Football,Thanks,1,1
20,172,74,M,2008,Summer,Beijing,Football,Gold,1,1
23,175,70,F,2000,Summer,Sydney,Volleyball,Gold,1,1
31,175,70,F,2008,Summer,Beijing,Volleyball,Thanks,1,1
21,164,58,M,1948,Summer,London,Gymnastics,Thanks,1,8
25,164,58,M,1952,Summer,Helsinki,Gymnastics,Thanks,1,8
23,172,67,M,1988,Summer,Seoul,Boxing,Thanks,1,1
22,175,62,M,1988,Summer,Seoul,Cycling,Thanks,1,1
17,178,70,M,2000,Summer,Sydney,Swimming,Thanks,1,1
20,190,90,M,1960,Summer,Roma,Rowing,Thanks,1,1
28,167,64,M,1984,Summer,Los Angeles,Athletics,Thanks,1,1
27,185,82,M,1996,Summer,Atlanta,Rowing,Thanks,1,1
29,183,82,M,1992,Summer,Barcelona,Handball,Thanks,1,1
29,171,51,M,1980,Summer,Moskva,Boxing,Thanks,1,1
27,191,82,M,1988,Summer,Seoul,Rowing,Thanks,1,1
19,192,80,F,1992,Summer,Barcelona,Basketball,Thanks,1,1
23,192,80,F,1996,Summer,Atlanta,Basketball,Thanks,1,1
27,194,80,M,2012,Summer,London,Athletics,Thanks,1,1
30,165,50,F,2008,Summer,Beijing,Athletics,Thanks,1,1
34,165,50,F,2012,Summer,London,Athletics,Thanks,1,1
38,165,50,F,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,1
26,168,67,M,1988,Summer,Seoul,Gymnastics,Thanks,1,8
19,178,72,M,1980,Summer,Moskva,Swimming,Thanks,1,5
23,178,72,M,1984,Summer,Los Angeles,Swimming,Thanks,1,5
20,179,77,M,1980,Summer,Moskva,Water Polo,Thanks,1,1
24,179,77,M,1984,Summer,Los Angeles,Water Polo,Thanks,1,1
24,164,58,M,1948,Summer,London,Gymnastics,Thanks,1,8
27,173,71,M,2004,Summer,Athina,Hockey,Thanks,1,1
27,172,75,F,2004,Summer,Athina,Basketball,Thanks,1,1
31,172,75,F,2008,Summer,Beijing,Basketball,Thanks,1,1
26,157,54,M,1996,Summer,Atlanta,Wrestling,Thanks,1,1
23,173,64,F,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,1
23,191,72,M,2016,Summer,Rio de Janeiro,Football,Thanks,1,1
41,170,72,M,2016,Summer,Rio de Janeiro,Golf,Thanks,1,1
26,178,64,M,1964,Summer,Tokyo,Athletics,Thanks,1,2
24,168,62,M,1984,Summer,Los Angeles,Athletics,Thanks,1,2
32,168,62,M,1992,Summer,Barcelona,Athletics,Thanks,1,2
24,189,82,M,2008,Summer,Beijing,Water Polo,Thanks,1,1
28,189,82,M,2012,Summer,London,Water Polo,Thanks,1,1
32,189,82,M,2016,Summer,Rio de Janeiro,Water Polo,Thanks,1,1
26,173,64,M,1996,Summer,Atlanta,Cycling,Thanks,1,1
20,173,64,M,1980,Summer,Moskva,Boxing,Bronze,1,1
21,174,75,M,1964,Summer,Tokyo,Boxing,Thanks,1,1
24,175,85,M,2004,Summer,Athina,Canoeing,Thanks,1,3
28,175,85,M,2008,Summer,Beijing,Canoeing,Thanks,1,3
16,179,71,M,1968,Summer,Mexico City,Swimming,Thanks,1,1
28,183,85,M,1964,Summer,Tokyo,Sailing,Thanks,1,1
27,170,67,F,2012,Summer,London,Handball,Bronze,1,1
31,170,67,F,2016,Summer,Rio de Janeiro,Handball,Thanks,1,1
25,176,67,M,1924,Summer,Paris,Athletics,Thanks,1,2
43,177,78,M,1968,Summer,Mexico City,Sailing,Thanks,1,1
18,161,70,M,1968,Summer,Mexico City,Swimming,Thanks,2,2
22,161,70,M,1972,Summer,Munich,Water Polo,Thanks,2,2
26,161,70,M,1976,Summer,Montreal,Water Polo,Thanks,2,2
24,178,77,M,2004,Summer,Athina,Athletics,Thanks,1,1
18,163,54,F,1988,Summer,Seoul,Swimming,Thanks,1,2
24,171,62,M,1984,Summer,Los Angeles,Athletics,Thanks,1,3
28,171,62,M,1988,Summer,Seoul,Athletics,Thanks,1,3
22,178,74,M,1984,Summer,Los Angeles,Water Polo,Thanks,1,1
19,167,50,F,2012,Summer,London,Rhythmic Gymnastics,Thanks,1,1
23,167,50,F,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Silver,1,1
32,164,70,M,1968,Summer,Mexico City,Wrestling,Thanks,1,1
24,168,55,F,1996,Summer,Atlanta,Synchronized Swimming,Thanks,1,1
20,165,66,F,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,1
19,161,53,F,2000,Summer,Sydney,Swimming,Thanks,1,1
23,175,77,M,2002,Winter,Salt Lake City,Bobsleigh,Thanks,1,1
18,169,60,M,1960,Summer,Roma,Boxing,Thanks,1,1
23,167,57,F,2008,Summer,Beijing,Athletics,Thanks,1,1
26,172,64,M,1992,Summer,Barcelona,Athletics,Bronze,1,1
27,202,95,M,2016,Summer,Rio de Janeiro,Volleyball,Thanks,1,1
21,163,54,M,1996,Summer,Atlanta,Boxing,Thanks,1,2
25,163,54,M,2000,Summer,Sydney,Boxing,Thanks,1,2
22,170,67,F,2004,Summer,Athina,Synchronized Swimming,Thanks,1,1
29,196,113,M,2012,Summer,London,Handball,Thanks,1,1
30,183,72,M,1968,Summer,Mexico City,Volleyball,Thanks,1,1
24,178,64,M,1976,Summer,Montreal,Equestrianism,Thanks,1,2
20,160,59,F,2016,Summer,Rio de Janeiro,Archery,Thanks,1,2
27,163,75,F,2004,Summer,Athina,Weightlifting,Thanks,1,1
31,163,75,F,2008,Summer,Beijing,Weightlifting,Thanks,1,1
19,170,60,M,2016,Summer,Rio de Janeiro,Football,Thanks,1,1
20,182,78,M,2006,Winter,Torino,Alpine Skiing,Thanks,1,1
30,164,58,F,2016,Summer,Rio de Janeiro,Hockey,Thanks,1,1
23,185,75,M,2000,Summer,Sydney,Athletics,Thanks,1,1
18,165,57,M,2008,Summer,Beijing,Diving,Thanks,1,2
22,165,57,M,2012,Summer,London,Diving,Thanks,1,2
25,175,67,M,1924,Summer,Paris,Athletics,Thanks,1,2
25,175,67,M,1928,Summer,Amsterdam,Athletics,Thanks,1,2
25,176,67,M,1948,Summer,London,Athletics,Thanks,1,2
30,174,73,M,1992,Summer,Barcelona,Judo,Thanks,1,1
21,186,82,M,1988,Summer,Seoul,Rowing,Thanks,1,1
21,185,82,M,1992,Summer,Barcelona,Rowing,Thanks,1,1
24,179,74,M,1936,Summer,Berlin,Sailing,Thanks,1,1
15,174,66,M,2008,Summer,Beijing,Table Tennis,Thanks,1,1
19,174,66,M,2012,Summer,London,Table Tennis,Thanks,1,1
23,174,66,M,2016,Summer,Rio de Janeiro,Table Tennis,Thanks,1,1
18,183,68,M,2006,Winter,Torino,Snowboarding,Thanks,1,1
25,170,65,M,1980,Summer,Moskva,Football,Thanks,1,1
20,179,74,M,1924,Summer,Paris,Sailing,Thanks,1,1
29,173,65,M,1992,Summer,Barcelona,Athletics,Thanks,1,1
33,173,65,M,1996,Summer,Atlanta,Athletics,Thanks,1,1
32,185,84,M,1948,Summer,London,Water Polo,Thanks,1,1
30,185,84,M,1948,Summer,London,Water Polo,Thanks,1,1
23,183,78,M,2012,Summer,London,Football,Thanks,1,1
25,190,83,M,2000,Summer,Sydney,Rowing,Thanks,1,1
28,196,92,M,2012,Summer,London,Handball,Thanks,1,1
26,170,56,F,1992,Summer,Barcelona,Canoeing,Thanks,1,1
21,147,47,F,2016,Summer,Rio de Janeiro,Weightlifting,Silver,1,1
20,191,85,M,1980,Summer,Moskva,Football,Thanks,1,1
36,173,69,M,1948,Summer,London,Hockey,Thanks,1,1
17,166,56,F,1984,Summer,Los Angeles,Swimming,Thanks,1,2
23,178,68,M,1984,Summer,Los Angeles,Hockey,Thanks,1,1
24,173,59,M,1996,Summer,Atlanta,Athletics,Thanks,1,1
